English,Sanskrit,Pali,Hindi,Urdu,Nepali,Bhojpuri,Punjabi,Saraiki,Sindhi,Gujarati,Marathi,Konkani,Assamese,Bengali,Odia,Kashmiri,Sinhalese,Dhivehi,Romani
to die,mriyate,marati,marna,marna,marnu,mare,marna,maran,maranu,marvu,marne,marce,mor,mora,morijiba,,maerenawa,maruvun,merel
to kill,hanti,mareti,marna,marna,marnu,mare,marna,maran,maranu,marvu,marne,marce,mar,mara,mariba,,maranawa,merun,mudarel
to fight,yudhyate,yodheti,larna,larna,ladnu,lare,larna,bhiran,virhanu,ladvu,ladhne,jhagadce,zuz,lora,juddho koriba,,satan karanna,talafolun,marel
to hunt,veti,migava,sikar karna,sikar karna,sikar garnu,sikar kare,tolna,sikar karan,sikaru karanu,sikar karvo,sikar karne,sikar karce,sikar kor,sikar kora,sikaro koriba,,dadayam karanawa,sikara ,mudarel
to hit,hanti,abhihanati,marna,marna,hannu,mare,jarna,takravan,maranu,marvu,marne,marap,pit,mara,pitiba,,gahanawa,jehun,chalavel
to cut,krntati,karati,katna,katna,katnu,kate,kattana,kappan,vadhanu,kapvu,kapne,katrap,kat,kata,katiba,,kapanawa,fotikurun,shinel
to split,bhinatti,bhindati,bantna,batna,badnu,bante,parna,ciran,ciranu,bhag karvo,vatne,bhesa javap,bhoga,bibhokto kora,phariba,,beda gannawa,baikurun,pharravel
to stab,vidhyati,churiyahanati,bhonkna,bhonkna,ghopnu,khobhe,khobhna,,hananu,bhonkvu,bhosakne,suri romap,khus,chora mara,proharo koriba,,pihiyakin aninawa,herun,pusavel
to scratch,likhati,likhati,kharoncna,khuracna,kotarnu,kharonce,gharundna,khanhan,khanahanu,khanvu,khajavne,karpunce,asur,khamcano,rampuriba,,suranawa,kehun,xarundel
to dig,khanati,khanati,khodna,khodna,khannu,khode,puttana,khattan,khotanu,khodvu,khodne,khanap,khando,khorano,kholiba,,kaninawa,konnun,hunavel
to swim,plavate,pilavati,tairna,tairna,paudinu,taire,tairna,taran,taranu,tarvu,pohne,phirap,xatur,satrano,pohoriba,,pihinanawa,fetun,plemel
to fly,patati,uddeti,urna,urna,udnu,ure,uddana,udan,uiranu,udavu,udne,udap,ur,ora,uriba,,igilenawa,uduhun,ural
to walk,eti,carati,calna,calna,hidnu,cale,turna,turan,halanu,calvu,calne,calap,khuz karh,hata,caliba,,aewidinawa,hingun,phirel
to come,agacchati,ayati,ana,ana,aunu,ave,auna,avan,acanu,avavu,yene,pavap,ah,asa,asiba,,enawa,aun,avel
to lie ,sete,seti,letna,letna,tersinu,lete,letna,letan,letanu,suvu,adve hone,,bagor,sowa,podi rohiba,,waetirenawa,osotun,pashlyol
to sit,sidati,nisidati,baithna,baithna,basnu,baithe,bahina,bahvan,vehanu,besvu,basne,basap,boh,bosa,bosiba,,indagannawa,isinun,besel
to stand,tisthati,titthati,khara hona,khara hona,uthnu,thar hove,kharhna,kharan,uthanu,ubhavu,ubhe rahne,sousap,thi ho,darano,thia heba,,sitinawa,kolahhurun,tordyol
to turn ,vartate,vattati,murna,murna,modnu,mure,murna,muran,varanu,valvu,valne,badlap,pak mar,ghora,oloteiba,,kaerakaewenawa,emburun,boldel
to fall,padyate,patati,girna,girna,khasnu,gire,diggana,dhavan,giranu,padvu,padne,padap,par,pora,poriba,,waetenawa,vettun,perel
to give,dadati,dadati,dena,dena,dinu,deve,dena,devan,dianu,apavu,dene,dan karap,de,deowa,deba,,denawa,dinun,del
to hold,dharati,dharati,pakarna,pakarna,linu,pakre,pharna,nappan,jhalanu,pakadvu,dharne,pakdap,dhor,dhora,dhoriba,,allanawa,hifehettun,xutyilel
to squeeze,mrdnati,nippileti,dabana,dabana,nicornu,nacore,nacorna,ghuttan,nipuranu,nicovvu,pilne,pilap,sep,cep-,dobeiba,,mirikanawa,fitun,kikidel
to rub,gharsati,ghamsati,malna,malna,ghotnu,male,malna,ragran,mahtanu,ghasvu,ghasne,ghausap,ghoh,ghosa,ghosiba,,atullanawa,ungulhun,morel
to wash,ksalayati,dhopati,dhona,dhona,dhunu,dhove,dhona,dhovan,dhoanu,dhovu,dhune,,dhu,dhowa,dhoiba,,sodanawa,dovun,thovel
to wipe,marsti,majjati,ponchna,ponchna,puchnu,ponche,hunjhna,pujhan,ughanu,luchvu,pusne,phasap,mus,mocha,pochiba,,pisanawa,fohun,khosel
to pull,karsati,khaddati,khincna,khincna,tannu,khince,khiccana,chikkan,chikanu,khencvu,khecne,odap,tan,tana,taniba,,adinawa,demun,cirdel
to push,nudati,nudati,dhakka dena,dhakka dena,dhakelnu,dhakkele,dhakkana,dhakka divan,dhikanu,dhakko marvo,dhakalne,,thel,thela,dhokka deba,,tallu karanawa,koppun,pizdel
to throw,ksipati,khipati,phenkna,phenkna,phalnu,phenke,suttana,sattan,uchlainu,phenkvu,phekne,udovap,dolia,phela,phopadiba,,wisi karanawa,ellun,shudel
to tie,badhnati,bandhati,bandhna,badhna,badhnu,banhe,bannhna,banhan,badhanu,badhvu,bandhne,bandhap,bandho,badha,bandhiba,,gaeta gasanawa,essun,phandel
to sew,sivyati,sibbati,sina,sina,siunu,sive,siuna,sivan,sibanu,sivvu,sivne,siuvap,sila,taka,silai koriba,,mahanawa,fehun,suvel
to count,ganayati,ganeti,ginna,ginna,gannu,gine,ginna,ginan,gananu,ganvu,mojne,ganna karap,gon,gona,goniba,,ganinawa,gunun,ginavel
to say,vakti,vatti,kahna,kahna,bhannu,kahe,akhana,akhan,cavanu,bolvu,bolne,mhanap,ko,bola,kohiba,,kiyanawa,bunun,phenel
to sing,gayati,gayati,gana,gana,gaunu,gave,gauna,gavan,gainu,gavu,gane,gavap,ga,gaowa,gaiba,,gayanawa,lavakiyun,gilyabel
to play,divyati,kilati,khelna,khelna,khelnu,khele,khedna,khedan,khedanu,ramvu,khelne,,khel,khela,kheliba,,sellam karanawa,kulun,khelel
to float,plavate,palavati,tairna,tairna,tairinu,taire,tarna,taran,taranu,tarvu,tarangne,patlavap,upon,bhasa,bhasiba,,pawenawa,oyadiun,urnel
to flow,sarati,dhavati,bahna,bahna,bagnu,bahe,vagna,vahan,vahanu,vahevu,vahne,vhauvap,bo,boha,bohiba,,galanawa,oi demun,shordyol
to freeze,siyate,siyati,jamna,jamna,jamnu,jame,jammna,jam vanjan,jamanu,tharvu,gothne,gothap,phriz kor,joma,jomi jiba,,kaeti karanawa,gandukurun,pahosajvel
to swell,svayati,phati,sujna,sujna,sunninu,suje,sujjana,sujjan,sujanu,suji javu,phugne,vadap,phul,phapa,phuliba,,idimenawa,dulavun,shulyol
sun,surya,suriya,suraj,suraj,gham,suraj,suraj,deh,siju,surya,surya,surya,beli,surjo,surjyo,,iru,iru,kham
moon,masa,canda,cand,cand,jun,can,cann,can,candu,candra,candra,candra,zun,cad,condro,,handa,handu,chon
star,naksatra,taraka,tara,sitara,tara,tara,tara,tara,taro,taro,tara,taro,tora,tara,tara,,taru,tari,cexrain
water,jala,jala,pani,pani,pani,pani,pani,pani,pani,pani,pani,udak,pani,pani,pani,,watura,fen,pani
rain,varsa,vassa,baris,baris,varsa,barkha,mih,mih,mihu,varsad,paus,pavas,boroxun,bristi,borsa,,waessa,vare,brisind
river,nadi,nadi,nadi,nadi,nadi,nadi,nadi,darya,nadi,nadi,nadi,nhaiya,noi,nodi,nodi,,ganga,koaru,len
lake,saras,sara,jhil,jhil,tal,tal,jhil,jhil,dhandha,sarovar,sarovar,tali,bil,hrod,hrodo,,wila,kuli,baro paji
sea,samudra,samudda,samandar,samundar,samundra,samundar,samundar,samandar,samundu,sayar,samudra,darya,xagor,somudro,somudro,,muhudu,kanzu,marja
salt,lavana,lona,namak,namak,nun,nimak,lun,lun,lunu,mithu,mith,mith,nimokh,nun,luno,,lunu,lonu,lon
stone,asman,asama,patthar,patthar,dhunga,patthal,patthar,patthar,patharu,paththar,dagad,phatar,xil,pathor,pothoro,,gala,ga,barr
sand,pamsu,sikata,ret,ret,baluwa,balu,ret,ret,vari,reti,valu,reuva,bali,bali,bali,,waeli,fas,kisaj
dust,renu,renu,dhul,dhul,dhulo,garda,dhur,dhur,miti,dhul,dhul,pitho,dhuli,dhula,dhuli,,pasa,hirafus,praxo
earth,ksam,bhumi,dharti,zamin,dharti,j'miin,zamin,bhui,dharti,dharti,pruthvi,jamin,prithiwi,mati,pruthwi,,bima,bin,phuv
cloud,nabhas,megha,badal,badal,badal,badri,baddal,baddal,kakaru,vadal,dhag,kup,megh,megh,megho,,waeli,vila,noro
fog,mih,mahika,dhundh,dundh,kuiro,dhundh,kohra,dhund,kohiro,dhummas,dhuke,dhuke,kuwoli,kuyasa,kuhuri,,miduma,bodunfini,muglya
sky,akasa,akasa,asman,asman,akas,asman,asaman,asman,asmanu,abha,akas,akas,akax,akas,akaso,,ahasa,udu,cheri
wind,vayu,vata,hava,hava,hawa,hava,hava,hava,vau,hava,vara,vayu,botah,batas,pobono,,sulanga,vai,balval
snow,hima,hima,barf,barf,hiu,brph',baraf,baraf,barfa,baraph,barpha,jhel,boroph,boroph,boropho,,hima,suno,iv
ice,hima,phati,barf,barf,baraph,brph',baraf,baraf,barfa,baraph,barpha,jhel,boroph,boroph,boropho,,himakaeta,gandufen,paho
smoke,dhuma,dhuma,dhua,dhua,dhuwa,dhua,dhua,dhua,duho,dhumado,dhur,dhuuvar,dhua,dhowa,dhua,,duma,dun,thuv
fire,agni,aggi,ag,ag,ago,ag,agga,bhah,bahi,aga,ag,ujo,zui,agun,nia,,gini,alifan,jag
ash,asa,bhasma,rakh,rakh,kharani,rakh,suaha,sua,chai,rakh,rakh,rakh,sai,chai,pauso,,marga,alhu,ushar
to burn,dahati,dahati,jalna,jalna,jalnu,jare,sarna,ballan,baranu,balvu,jalne,jalap,zola,pora,joliba,,puccanawa,endun,phabol
road,patha,patha,sarak,sarak,bato,sarak,sarak,sark,rasto,rasto,rasta,rasto,ali,rasta,soroko,,para,magu,drom
mountain,giri,pabbata,pahar,pahar,pahad,pahar,pahar,rava,jabalu,pahad,dongar,dongar,pahar,pahar,poharo,,kanda,farubada,plaj
red,rakta,lohita,lal,surx,rato,lal,lal,ratta,garho,lal,lal,lal,rona,lal,lalo,,ratu,rat,lolo
green,harit,hari,hara,sabz,hariyo,hariyar,hara,sava,sao,lilo,hirve,pacvau,xeuzia,sobuj,sobujo,,kola,fehikulaige,zeleno
yellow,pita,pita,pila,pila,pahelo,piyar,pila,pila,phiko,pilo,pivle,halduvo,halodhia,holud,holodia,,kaha,rindukula,galbeno
white,sveta,sukka,safed,safed,seto,ujjar,citta,citta,acho,saphed,pandhre,dhavo,boga,sada,dhobolo,,sudu,hudu,parno
black,krsna,kanha,kala,siyah,kalo,kariya,kala,kala,karo,kalo,kale,kalo,kola,kalo,kola,,kalu,kalu,kalo
night,ratri,ratti,rat,rat,rat,rat,rat,rat,rati,rat,ratra,rat,rati,ratri,rati,,rae,regandu,rat
day,dina,diva,din,din,dina,din,din,diha,ihu,divas,divas,dis,din,din,dino,,dawasa,duvas,dives
year,varsa,vassa,sal,sal,varsa,sal,sal,sal,salu,varas,varsa,varsa,bosor,bochor,borso,,awurudda,aharu,bers
warm,tapta,ghamma,garm,garm,nyano,garam,garam,tatta,koso,garam,garam,garam,topot,gorom,goromo,,unusum,hunu,tato
cold,sita,sita,thanda,sard,thanda,thanda,thanda,thadha,thadho,thandu,gar,thanda,sesa,thanda,thonda,,sisil,fini,sudro
full,purna,punna,pura,pura,bhari,pura,pura,pura,bharyal,bharelu,sampurna,puray,bhora,bhora,purnno,,pura,furifai,pherdo
new,nava,nava,naya,naya,naya,naya,nava,nava,nao,navu,nave,nave,notun,notun,nua,,alut,a,nevo
old,jirna,vuddha,purana,purana,purano,puran,purana,buddha,purano,junu,june,puratan,purona,purano,puruna,,parana,ba,purano
good,vasu,bhaddaka,accha,accha,ramro,barhiya,canga,canga,sutho,saru,cangle,bare,bhal,bhalo,bholo,,honda,rangalu,lacho
bad,papa,papa,bura,bura,naramro,kh'raab,bura,ganda,xarabu,kharab,vait,kusille,bea,kharap,khorapo,,naraka,nubai,nasul
rotten,puti,putika,sara,bosidah,kuieko,saral,saria,galel hoya,garyal,sadelu,kujke,kusil,gela,poca,poca,,puti,fi,kerno
dirty,malina,malina,ganda,ganda,mailo,ganda,ganda,ganda,mero,gandu,ghan,mhele,letera,moyla,osona,,apirisidu,hadivefaiva,melalo
straight,rju,ujju,sidha,sidha,sidha,sidha,siddha,siddha,sidho,sidhu,saral,saral,pun,soja,sidha,,kelin,sida,vorta
round,vrtta,gula,gol,gol,golo,gol,gol,gol,golu,gol,gol,golakar,gul,gol,golo,,wataya,vas,oblo
sharp ,tiksna,tikkha,tikha,tikha,tikho,tej',tez,tikkha,tikho,dhardar,tiksna,tikhat,suka,cokkha,tiksno,,tiyunu,tunu,kucime
dull ,kuntha,kuntha,kund,kund,bodho,bhothar,khundha,kaudan,muo,buththu,bothat,,bhuta,bhota,onthora,,mota,kosi,bikucime
smooth,slaksna,sanha,cikna,hamvar,samma,cikan,kula,barabar,laso,lisu,gulgulit,laghvi,mihi,mosrin,cikkono,,sinindu,oman,samtalo
wet,ardra,adda,gila,gila,gilo,bhinjal,bhijja,sinna,alo,bhinu,ole,ole,tita,bheja,oda,,tet,tet,kindyilo
dry,suska,sukkha,sukha,xusk,sukkha,sukhal,sukka,sukka,sukal,suku,korde,suke,xukan,sukona,sukhila,,wiyali,dahan'gu,shuko
correct,suddha,utu,sahi,thik,sahi,sahi,sahi,darust,sahi,sacu,barobar,sat,xuddho,thik,thiko,,niwaeradi,rangalu,uchito
near,neda,antika,pas,pas,najik,niyare,kol,nere,vejho,najik,javal,samip,usor,kache,nikoto,,asala,kairi,pashe
far,dura,dura,dur,dur,tadha,dur,dur,pare,pare,dur,dur,paysille,dur,dur,duro,,dura,duru,dur
right,daksina,dakhina,daya,daya,dahine,daya,sajja,sajja,sajo,jamnu,ujve,ujvo,xu,dan,dahano,,dakunu,kanai,chacho
left,savya,vama,baya,baya,bahine,baya,khabba,khabba,khabo,dabu,dave,davo,bau,ba,ba,,wama,vaatu,stungo
at,locative case,locative case,pe,pe,ma,par,utte,ute,te,e,locative and dative cases,cer,-t,-e,re,,locative case,gai-,kaj
in,locative case,antara,me,me,ma,me,vicca,ic,me,andar,madhye,bhitar,-t,-e,bhitore,,tula,zerey gay,anth-
with,saha,saha,ke sath,ke sath,sanga,ke sathe,nal,nal,sa,sathe,barobar,lagi,,-ro sathe,sange,,samaga,ekuga,-ca
and,ca,ca,aur,aur,ra,aur,ate,ate,ai,ane,ani,ani,aru,ar,au,,ha,ai,thaj
if,yadi,yadi,agar,agar,yadi,agar,je,je,jekaahin,jo,jar,jar,zodi,jodi,jodi,,nam,nama,te
because,hi,yavata,kyonki,kyunki,kinabhane,kaheki,kiunki,kiujo,chalai,karanke,karan ,lagun,karon,karon,karono,,nisa,ehenve,ke
name,naman,nama,nam,nam,nam,nav,na,na,nalo,nam,nav,nauva,nam,nam,namo,,nama,nan,anav
